Date,Open,High,Low,Close,Adj Close,Volume,VIX,NASDAQ,TNX
2000-01-03,0.9363840222358704,1.004464030265808,0.9079239964485168,0.9994419813156128,0.8392806649208069,535796800,24.209999084472656,4131.14990234375,6.547999858856201
2000-01-04,0.966517984867096,0.9877229928970336,0.9034600257873536,0.9151790142059326,0.7685208320617676,512377600,27.01000022888184,3901.68994140625,6.485000133514404
2000-01-05,0.9263389706611632,0.9871649742126464,0.919642984867096,0.9285709857940674,0.7797667384147644,778321600,26.40999984741211,3877.5400390625,6.598999977111816
2000-01-06,0.9475449919700624,0.955357015132904,0.8482139706611633,0.8482139706611633,0.7122871279716492,767972800,25.729999542236328,3727.1298828125,6.548999786376953
2000-01-07,0.861607015132904,0.9017860293388368,0.8526790142059326,0.888392984867096,0.7460273504257202,460734400,21.71999931335449,3882.6201171875,6.504000186920166
2000-01-10,0.9107139706611632,0.9129459857940674,0.845982015132904,0.872767984867096,0.7329063415527344,505064000,21.709999084472656,4049.669921875,6.558000087738037
2000-01-11,0.8565850257873535,0.8872770071029663,0.8080360293388367,0.828125,0.6954172849655151,441548800,22.5,3921.18994140625,6.664000034332275
2000-01-12,0.8482139706611633,0.8526790142059326,0.7723209857940674,0.7784600257873535,0.653711199760437,976068800,22.84000015258789,3850.02001953125,6.696000099182129
2000-01-13,0.8436099886894226,0.8816959857940674,0.825892984867096,0.8638389706611633,0.7254080772399902,1032684800,21.709999084472656,3957.2099609375,6.618000030517578
2000-01-14,0.892857015132904,0.9129459857940674,0.8872770071029663,0.896763026714325,0.7530562877655029,390376000,19.65999984741211,4064.27001953125,6.673999786376953
2000-01-18,0.9017860293388368,0.9464290142059326,0.896763026714325,0.928013026714325,0.7792982459068298,459177600,21.5,4130.81005859375,6.748000144958496
2000-01-19,0.9430800080299376,0.970982015132904,0.9229909777641296,0.9514510035514832,0.798980176448822,597643200,21.71999931335449,4151.2900390625,6.724999904632568
2000-01-20,1.03125,1.0848209857940674,1.0133930444717407,1.0133930444717407,0.8509960770606995,1831132800,21.75,4189.509765625,6.748000144958496
