Date,Open,High,Low,Close,Adj Close,Volume
2025-12-03,286.20001220703125,288.6199951171875,283.29998779296875,284.1499938964844,284.1499938964844,43538700
2025-12-04,284.1000061035156,284.7300109863281,278.5899963378906,280.70001220703125,280.70001220703125,43989100
2025-12-05,280.5400085449219,281.1400146484375,278.04998779296875,278.7799987792969,278.7799987792969,47265800
2025-12-08,278.1300048828125,279.6700134277344,276.1499938964844,277.8900146484375,277.8900146484375,38211800
2025-12-09,278.1600036621094,280.0299987792969,276.9200134277344,277.17999267578125,277.17999267578125,32193300
2025-12-10,277.75,279.75,276.44000244140625,278.7799987792969,278.7799987792969,33038300
2025-12-11,279.1000061035156,279.5899963378906,273.8099975585937,278.0299987792969,278.0299987792969,33248000
2025-12-12,277.8999938964844,279.2200012207031,276.82000732421875,278.2799987792969,278.2799987792969,39532900
2025-12-15,280.1499938964844,280.1499938964844,272.8399963378906,274.1099853515625,274.1099853515625,50409100
2025-12-16,272.82000732421875,275.5,271.7900085449219,274.6099853515625,274.6099853515625,37648600
2025-12-17,275.010009765625,276.1600036621094,271.6400146484375,271.8399963378906,271.8399963378906,50138700
2025-12-18,273.6099853515625,273.6300048828125,266.95001220703125,272.19000244140625,272.19000244140625,51630700
2025-12-19,272.1499938964844,274.6000061035156,269.8999938964844,273.6700134277344,273.6700134277344,144632000
2025-12-22,272.8599853515625,273.8800048828125,270.510009765625,270.9700012207031,270.9700012207031,36571800
2025-12-23,270.8399963378906,272.5,269.5599975585937,272.3599853515625,272.3599853515625,29642000
2025-12-24,272.3399963378906,275.42999267578125,272.20001220703125,273.8099975585937,273.8099975585937,17910600
2025-12-26,274.1600036621094,275.3699951171875,272.8599853515625,273.3999938964844,273.3999938964844,21521800
2025-12-29,272.69000244140625,274.3599853515625,272.3500061035156,273.760009765625,273.760009765625,23715200
2025-12-30,272.8099975585937,274.0799865722656,272.2799987792969,273.0799865722656,273.0799865722656,22139600
2025-12-31,273.0599975585937,273.67999267578125,271.75,271.8599853515625,271.8599853515625,27293600
2026-01-02,272.260009765625,277.8399963378906,269.0,271.010009765625,271.010009765625,37822400
