return,lag_1,lag_5,ma_20,volatility_10,VIX,NASDAQ,TNX,Adj Close
0.7697247278857239,-0.7451436342481431,-0.745535930734415,-0.7498964003463644,1.7038911532582939,0.5636540764079462,0.10147205311583186,2.5893744049763447,0.7778923511505127
-1.3751188432794377,-0.7443816318219573,-0.7433662225174059,-0.750110013945252,1.7060885975958315,0.39637555773913863,0.15128011454841087,2.5508231046344227,0.7516502141952515
-0.6138362227128948,-0.7456367171119171,-0.7441120523504096,-0.7501774130739184,1.632498761744826,0.3595742921402264,0.16108734707335443,2.536173485501468,0.7408719062805176
1.7365376275630369,-0.7461522123148232,-0.744179853755788,-0.750189977707958,1.3953279442781505,0.23578812025950566,0.22222421632698286,2.441336632232742,0.7746123671531677
1.7299119370554494,-0.7445385039422953,-0.7472084420608999,-0.7499523746896662,1.6250505822923482,0.18337426098397447,0.23701992387411086,2.4737201362946246,0.8097586631774902
2.1522744972874333,-0.7428575585523711,-0.7464400108011807,-0.7496862157377553,1.669948955915907,0.3227730265413141,0.27165754844837886,2.561617483436399,0.8552131652832031
0.22861969519810507,-0.7406836015666045,-0.7477056849477137,-0.7493732207016354,1.4230784236330356,0.1510336452759664,0.3188331364698973,2.536944460036473,0.8613056540489197
-0.8198188310297927,-0.7403922155014325,-0.7482255292612431,-0.7490099658216905,1.428370845419378,0.33503997327052804,0.29016111538331124,2.590916721702308,0.844434916973114
0.2539677746024712,-0.7411990939187934,-0.7465982064143488,-0.7485290513880699,1.4276248482902167,0.3539982138945513,0.3447700693166046,2.580893317435337,0.8509959578514099
-1.6936610750155816,-0.7408852983652066,-0.7449030792873081,-0.7483097269221102,0.9510513801093674,0.5045489232376053,0.3045328559306938,2.553907002774442,0.8153813481330872
2.498031397665052,-0.7425886418406764,-0.7427107811426558,-0.7480287169551839,1.2762190318451156,0.5000880606410651,0.3148396549152552,2.490682679032594,0.8683341145515442
1.0293038949331674,-0.7400560646230591,-0.7424169367224411,-0.7477534182912184,1.0374538820368238,0.33727040456879764,0.3158302910652256,2.5007060832995656,0.8922334313392639
-1.6589673865335604,-0.7389130296258903,-0.743230622581417,-0.747615199034898,1.292780431264198,0.4030666389283133,0.3189000212946259,2.496850842968587,0.8556816577911377
0.2069765367067889,-0.740661194928907,-0.742914179609255,-0.7475900674420795,1.1873592462611393,0.3651501576802656,0.37300940876830146,2.5138133857065568,0.8613056540489197
-1.289591940151652,-0.7403922155014325,-0.7446318937891708,-0.7475912091796053,1.1964280435222139,0.6807489543938572,0.3118012973723725,2.447504796168735,0.834126353263855
0.8530552394191407,-0.7416921226189394,-0.7420779498189254,-0.7474529902138773,0.9149242919518273,0.6651363607172383,0.2985851174450566,2.338789665958013,0.8533386588096619
0.7896166572472945,-0.74077325377385,-0.7409252713068976,-0.747379882542878,0.9597532965829634,0.4454437700672647,0.3736386054256831,2.4043272809608296,0.8716142773628235
-0.4044538268385343,-0.7398991839505693,-0.7426881854654764,-0.7472882122654791,0.918326816801652,0.5000880606410651,0.4036759919734226,2.3418739317539865,0.8637653589248657
-1.695982700335399,-0.740274574952086,-0.7424169367224411,-0.7472813589344002,1.1162851328149201,0.5915338295194141,0.39156199552591764,2.338018691423008,0.8275652527809143
0.9713943731143679,-0.7420059210232434,-0.7437278108476372,-0.7470688880901117,0.9758751770851237,0.5335438919982083,0.3859177442091629,2.3943038766938582,0.8491215109825134
0.4255663560470574,-0.7409749477217348,-0.7428011897242859,-0.7468701236173888,0.47727033028338456,0.3874540452516943,0.43894281320507234,2.39044863636288,0.8594312071800232
5.3207852391763995,-0.7404818648579607,-0.7419197455814529,-0.746320670497019,2.20360038324673,0.1945259920640533,0.4779353588265712,2.3673179296889173,0.977051556110382
-2.554746933849823,-0.734856424750163,-0.7422983036677134,-0.7458968704006718,2.4185899665844044,0.12984497335367273,0.464741401218872,2.3804252320959085,0.9147267937660216
1.8793585430499722,-0.7378372373475522,-0.7440442566945673,-0.7454456562535275,2.5298719826727774,-0.07646524221231717,0.5362567473311194,2.3611493980969707,0.9597132802009584
-0.7601092460276018,-0.735685664193745,-0.7430045853161171,-0.7451223820925663,2.4553868929413185,0.17891339838743436,0.5318216516405657,2.39044863636288,0.9423749446868896
-0.9293326051533088,-0.7365149064880443,-0.7425073424293033,-0.744961316316737,2.5284569963329524,0.4922817638027559,0.5063842852534762,2.370401827828937,0.921286940574646
-0.3304897136151138,-0.7375234845547244,-0.736834441819069,-0.7448310934366874,2.5304227720268275,0.4376374732289551,0.52843492655781,2.364233663892944,0.9147267937660216
0.029432098117321635,-0.7378372373475522,-0.7398404028245525,-0.744655176064658,2.513996780341425,0.25809179512529806,0.5951848923075541,2.338018691423008,0.9166012406349182
1.072755923707264,-0.737747587991024,-0.7376706773589348,-0.7444312818879671,2.3304891935546,0.14991842962683138,0.5959702987998883,2.3734860936249107,0.942843735218048
-1.4361256037424777,-0.7364924855967605,-0.7385069157735686,-0.7442016777159811,2.476499200498193,0.3294641077304884,0.5328881051162871,2.354210259625973,0.9095715284347534
